timestamp,cpu_percent,memory_percent,latency_ms,error_rate,requests_per_second,active_pods,label
2026-01-23T01:12:14.522370,100.0,27.36,49904.91,0.9681,1467,10,normal
2026-01-23T01:12:19.522370,100.0,25.79,31532.64,0.6494,1263,11,normal
2026-01-23T01:12:24.522370,100.0,25.88,22831.11,0.6559,1385,12,normal
2026-01-23T01:12:29.522370,100.0,23.74,17531.63,0.5941,1420,13,normal
2026-01-23T01:12:34.522370,100.0,25.92,12943.09,0.4214,1288,14,normal
2026-01-23T01:12:39.522370,93.74,22.21,2908.0,0.1862,1027,15,normal
2026-01-23T01:12:44.522370,100.0,25.34,6141.08,0.272,1233,16,normal
2026-01-23T01:12:49.522370,99.94,22.77,5706.89,0.2781,1321,17,normal
2026-01-23T01:12:54.522370,100.0,24.69,3485.6,0.2348,1320,18,normal
2026-01-23T01:12:59.522370,100.0,24.55,2562.8,0.2275,1380,19,normal
2026-01-23T01:13:04.522370,83.73,23.91,1077.98,0.0683,1134,20,normal
2026-01-23T01:13:09.522370,95.97,23.39,1942.54,0.143,1348,21,normal
2026-01-23T01:13:14.522370,79.38,22.86,2170.46,0.1149,1350,22,normal
2026-01-23T01:13:19.522370,78.19,23.7,1259.31,0.0804,1332,23,normal
2026-01-23T01:13:24.522370,92.54,23.71,1935.65,0.1354,1522,24,normal
2026-01-23T01:13:29.522370,65.28,22.18,451.72,0.001,1243,25,normal
2026-01-23T01:13:34.522370,67.75,22.72,490.47,0.0057,1261,25,normal
2026-01-23T01:13:39.522370,71.68,21.65,1141.02,0.0648,1409,25,normal
2026-01-23T01:13:44.522370,65.42,21.58,283.79,0.001,1230,26,normal
2026-01-23T01:13:49.522370,57.32,22.81,409.53,0.001,1260,26,normal
2026-01-23T01:13:54.522370,67.09,21.18,420.79,0.001,1276,26,normal
2026-01-23T01:13:59.522370,78.32,25.43,1358.63,0.0651,1466,26,normal
2026-01-23T01:14:04.522370,64.9,22.5,73.18,0.001,1159,27,normal
2026-01-23T01:14:09.522370,78.7,20.98,395.9,0.001,1314,27,normal
2026-01-23T01:14:14.522370,60.42,21.2,297.79,0.001,1330,28,normal
2026-01-23T01:14:19.522370,77.94,22.34,1094.84,0.0255,1468,28,normal
2026-01-23T01:14:24.522370,75.65,23.32,951.53,0.0421,1569,29,normal
2026-01-23T01:14:29.522370,58.25,19.73,111.54,0.001,1330,30,normal
2026-01-23T01:14:34.522370,51.77,19.23,49.48,0.001,1192,30,normal
2026-01-23T01:14:39.522370,59.86,22.55,186.5,0.001,1361,30,normal
2026-01-23T01:14:44.522370,60.98,22.86,116.6,0.001,1361,30,normal
2026-01-23T01:14:49.522370,73.19,22.69,319.97,0.001,1417,30,normal
2026-01-23T01:14:54.522370,49.46,21.95,44.56,0.001,1194,31,normal
2026-01-23T01:14:59.522370,60.68,23.95,78.61,0.001,1323,31,normal
2026-01-23T01:15:04.522370,64.36,24.26,35.17,0.001,1207,31,normal
2026-01-23T01:15:09.522370,57.8,25.13,70.36,0.001,1295,31,normal
2026-01-23T01:15:14.522370,47.29,22.44,35.64,0.001,1239,31,normal
2026-01-23T01:15:19.522370,46.91,21.64,45.77,0.001,1195,31,normal
2026-01-23T01:15:24.522370,66.83,21.8,159.75,0.001,1422,31,normal
2026-01-23T01:15:29.522370,38.35,22.87,31.21,0.001,917,31,normal
2026-01-23T01:15:34.522370,42.29,20.5,51.27,0.001,998,31,normal
2026-01-23T01:15:39.522370,66.28,22.99,95.06,0.001,1340,31,normal
2026-01-23T01:15:44.522370,49.96,21.52,25.27,0.001,1261,31,normal
2026-01-23T01:15:49.522370,57.29,21.05,65.62,0.001,1320,31,normal
2026-01-23T01:15:54.522370,54.08,20.11,66.98,0.001,1353,31,normal
2026-01-23T01:15:59.522370,59.08,22.94,335.15,0.001,1505,31,normal
2026-01-23T01:16:04.522370,44.72,23.35,57.87,0.001,1127,31,normal
2026-01-23T01:16:09.522370,66.48,19.41,31.81,0.001,1244,31,normal
2026-01-23T01:16:14.522370,56.41,22.75,55.77,0.001,1314,31,normal
2026-01-23T01:16:19.522370,55.86,22.3,44.18,0.001,1177,31,normal
2026-01-23T01:16:24.522370,65.17,19.73,40.73,0.001,1284,31,normal
2026-01-23T01:16:29.522370,70.8,19.52,495.12,0.001,1537,31,normal
2026-01-23T01:16:34.522370,64.59,21.27,58.92,0.001,1313,32,normal
